,Match,FileName1,FileName2
0,True,./fbanks/p297_000.npy,./fbanks/p297_001.npy
1,True,./fbanks/p297_000.npy,./fbanks/p297_002.npy
2,True,./fbanks/p297_000.npy,./fbanks/p297_003.npy
3,True,./fbanks/p297_000.npy,./fbanks/p297_004.npy
4,False,./fbanks/p297_000.npy,./fbanks/p246_000.npy
5,False,./fbanks/p297_000.npy,./fbanks/p246_001.npy
6,False,./fbanks/p297_000.npy,./fbanks/p246_002.npy
7,False,./fbanks/p297_000.npy,./fbanks/p246_003.npy
8,False,./fbanks/p297_000.npy,./fbanks/p246_004.npy
9,False,./fbanks/p297_000.npy,./fbanks/p333_000.npy
10,False,./fbanks/p297_000.npy,./fbanks/p333_001.npy
11,False,./fbanks/p297_000.npy,./fbanks/p333_002.npy
12,False,./fbanks/p297_000.npy,./fbanks/p333_003.npy
13,False,./fbanks/p297_000.npy,./fbanks/p333_004.npy
14,False,./fbanks/p297_000.npy,./fbanks/p318_000.npy
15,False,./fbanks/p297_000.npy,./fbanks/p318_001.npy
16,False,./fbanks/p297_000.npy,./fbanks/p318_002.npy
17,False,./fbanks/p297_000.npy,./fbanks/p318_003.npy
18,False,./fbanks/p297_000.npy,./fbanks/p318_004.npy
19,False,./fbanks/p297_000.npy,./fbanks/p248_000.npy
20,False,./fbanks/p297_000.npy,./fbanks/p248_001.npy
21,False,./fbanks/p297_000.npy,./fbanks/p248_002.npy
22,False,./fbanks/p297_000.npy,./fbanks/p248_003.npy
23,False,./fbanks/p297_000.npy,./fbanks/p248_004.npy
24,False,./fbanks/p297_000.npy,./fbanks/p268_000.npy
25,False,./fbanks/p297_000.npy,./fbanks/p268_001.npy
26,False,./fbanks/p297_000.npy,./fbanks/p268_002.npy
27,False,./fbanks/p297_000.npy,./fbanks/p268_003.npy
28,False,./fbanks/p297_000.npy,./fbanks/p268_004.npy
29,False,./fbanks/p297_000.npy,./fbanks/p277_000.npy
30,False,./fbanks/p297_000.npy,./fbanks/p277_001.npy
31,False,./fbanks/p297_000.npy,./fbanks/p277_002.npy
32,False,./fbanks/p297_000.npy,./fbanks/p277_003.npy
33,False,./fbanks/p297_000.npy,./fbanks/p277_004.npy
34,False,./fbanks/p297_000.npy,./fbanks/p278_000.npy
35,False,./fbanks/p297_000.npy,./fbanks/p278_001.npy
36,False,./fbanks/p297_000.npy,./fbanks/p278_002.npy
37,False,./fbanks/p297_000.npy,./fbanks/p278_003.npy
38,False,./fbanks/p297_000.npy,./fbanks/p278_004.npy
39,False,./fbanks/p297_000.npy,./fbanks/p304_000.npy
40,False,./fbanks/p297_000.npy,./fbanks/p304_001.npy
41,False,./fbanks/p297_000.npy,./fbanks/p304_002.npy
42,False,./fbanks/p297_000.npy,./fbanks/p304_003.npy
43,False,./fbanks/p297_000.npy,./fbanks/p304_004.npy
44,False,./fbanks/p297_000.npy,./fbanks/p280_000.npy
45,False,./fbanks/p297_000.npy,./fbanks/p280_001.npy
46,False,./fbanks/p297_000.npy,./fbanks/p280_002.npy
47,False,./fbanks/p297_000.npy,./fbanks/p280_003.npy
48,False,./fbanks/p297_000.npy,./fbanks/p280_004.npy
49,False,./fbanks/p297_000.npy,./fbanks/p240_000.npy
50,False,./fbanks/p297_000.npy,./fbanks/p240_001.npy
51,False,./fbanks/p297_000.npy,./fbanks/p240_002.npy
52,False,./fbanks/p297_000.npy,./fbanks/p240_003.npy
53,False,./fbanks/p297_000.npy,./fbanks/p240_004.npy
54,False,./fbanks/p297_000.npy,./fbanks/p228_000.npy
55,False,./fbanks/p297_000.npy,./fbanks/p228_001.npy
56,False,./fbanks/p297_000.npy,./fbanks/p228_002.npy
57,False,./fbanks/p297_000.npy,./fbanks/p228_003.npy
58,False,./fbanks/p297_000.npy,./fbanks/p228_004.npy
59,False,./fbanks/p297_000.npy,./fbanks/p317_000.npy
60,False,./fbanks/p297_000.npy,./fbanks/p317_001.npy
61,False,./fbanks/p297_000.npy,./fbanks/p317_002.npy
62,False,./fbanks/p297_000.npy,./fbanks/p317_003.npy
63,False,./fbanks/p297_000.npy,./fbanks/p317_004.npy
64,False,./fbanks/p297_000.npy,./fbanks/p251_000.npy
65,False,./fbanks/p297_000.npy,./fbanks/p251_001.npy
66,False,./fbanks/p297_000.npy,./fbanks/p251_002.npy
67,False,./fbanks/p297_000.npy,./fbanks/p251_003.npy
68,False,./fbanks/p297_000.npy,./fbanks/p251_004.npy
69,False,./fbanks/p297_000.npy,./fbanks/p259_000.npy
70,False,./fbanks/p297_000.npy,./fbanks/p259_001.npy
71,False,./fbanks/p297_000.npy,./fbanks/p259_002.npy
72,False,./fbanks/p297_000.npy,./fbanks/p259_003.npy
73,False,./fbanks/p297_000.npy,./fbanks/p259_004.npy
74,False,./fbanks/p297_000.npy,./fbanks/p227_000.npy
75,False,./fbanks/p297_000.npy,./fbanks/p227_001.npy
76,False,./fbanks/p297_000.npy,./fbanks/p227_002.npy
77,False,./fbanks/p297_000.npy,./fbanks/p227_003.npy
78,False,./fbanks/p297_000.npy,./fbanks/p227_004.npy
79,False,./fbanks/p297_000.npy,./fbanks/p343_000.npy
80,False,./fbanks/p297_000.npy,./fbanks/p343_001.npy
81,False,./fbanks/p297_000.npy,./fbanks/p343_002.npy
82,False,./fbanks/p297_000.npy,./fbanks/p343_003.npy
83,False,./fbanks/p297_000.npy,./fbanks/p343_004.npy
84,False,./fbanks/p297_000.npy,./fbanks/p306_000.npy
85,False,./fbanks/p297_000.npy,./fbanks/p306_001.npy
86,False,./fbanks/p297_000.npy,./fbanks/p306_002.npy
87,False,./fbanks/p297_000.npy,./fbanks/p306_003.npy
88,False,./fbanks/p297_000.npy,./fbanks/p306_004.npy
89,False,./fbanks/p297_000.npy,./fbanks/p310_000.npy
90,False,./fbanks/p297_000.npy,./fbanks/p310_001.npy
91,False,./fbanks/p297_000.npy,./fbanks/p310_002.npy
92,False,./fbanks/p297_000.npy,./fbanks/p310_003.npy
93,False,./fbanks/p297_000.npy,./fbanks/p310_004.npy
94,False,./fbanks/p297_000.npy,./fbanks/p279_000.npy
95,False,./fbanks/p297_000.npy,./fbanks/p279_001.npy
96,False,./fbanks/p297_000.npy,./fbanks/p279_002.npy
97,False,./fbanks/p297_000.npy,./fbanks/p279_003.npy
98,False,./fbanks/p297_000.npy,./fbanks/p279_004.npy
99,False,./fbanks/p297_000.npy,./fbanks/p272_000.npy
100,False,./fbanks/p297_000.npy,./fbanks/p272_001.npy
101,False,./fbanks/p297_000.npy,./fbanks/p272_002.npy
102,False,./fbanks/p297_000.npy,./fbanks/p272_003.npy
103,False,./fbanks/p297_000.npy,./fbanks/p272_004.npy
104,False,./fbanks/p297_000.npy,./fbanks/p339_000.npy
105,False,./fbanks/p297_000.npy,./fbanks/p339_001.npy
106,False,./fbanks/p297_000.npy,./fbanks/p339_002.npy
107,False,./fbanks/p297_000.npy,./fbanks/p339_003.npy
108,False,./fbanks/p297_000.npy,./fbanks/p339_004.npy
109,False,./fbanks/p297_000.npy,./fbanks/p281_000.npy
110,False,./fbanks/p297_000.npy,./fbanks/p281_001.npy
111,False,./fbanks/p297_000.npy,./fbanks/p281_002.npy
112,False,./fbanks/p297_000.npy,./fbanks/p281_003.npy
113,False,./fbanks/p297_000.npy,./fbanks/p281_004.npy
114,False,./fbanks/p297_000.npy,./fbanks/p233_000.npy
115,False,./fbanks/p297_000.npy,./fbanks/p233_001.npy
116,False,./fbanks/p297_000.npy,./fbanks/p233_002.npy
117,False,./fbanks/p297_000.npy,./fbanks/p233_003.npy
118,False,./fbanks/p297_000.npy,./fbanks/p233_004.npy
119,False,./fbanks/p297_000.npy,./fbanks/p340_000.npy
120,False,./fbanks/p297_000.npy,./fbanks/p340_001.npy
121,False,./fbanks/p297_000.npy,./fbanks/p340_002.npy
122,False,./fbanks/p297_000.npy,./fbanks/p340_003.npy
123,False,./fbanks/p297_000.npy,./fbanks/p340_004.npy
124,False,./fbanks/p297_000.npy,./fbanks/p229_000.npy
125,False,./fbanks/p297_000.npy,./fbanks/p229_001.npy
126,False,./fbanks/p297_000.npy,./fbanks/p229_002.npy
127,False,./fbanks/p297_000.npy,./fbanks/p229_003.npy
128,False,./fbanks/p297_000.npy,./fbanks/p229_004.npy
129,False,./fbanks/p297_000.npy,./fbanks/p295_000.npy
130,False,./fbanks/p297_000.npy,./fbanks/p295_001.npy
131,False,./fbanks/p297_000.npy,./fbanks/p295_002.npy
